category,edmb_field,madmp_v1_1_property,score,note
Access and Sharing,dataAccessLevel,distribution.data_access,1.0,Direct: open/shared/closed
Access and Sharing,licenseURL,distribution.license.license_ref,1.0,Direct: URL type
Access and Sharing,embargoEndDate,distribution.license.start_date,0.75,Official maDMP convention
Access and Sharing,embargoApplied,(implied by license.start_date),0.5,Flag has no dedicated slot
Access and Sharing,reuseConditions,distribution.license (partial),0.5,Non-license terms still free text
Access and Sharing,sharingRestrictions,(data_access + descriptions),0.5,No dedicated text in maDMP
Access and Sharing,accessContactName,dmp.contact.name (partial),0.5,maDMP contact is the DMP contact
Access and Sharing,accessContact,dmp.contact.mbox (partial),0.5,Format matches; purpose differs
Access and Sharing,accessRequestProcedure,(distribution.description),0.25,No dedicated field
Cost,costTitle,dmp.cost.title,1.0,Direct: title of the cost item
Cost,costDescription,dmp.cost.description,1.0,Direct: free-text description of the cost
Cost,costValue,dmp.cost.value,1.0,Direct: numeric amount
Cost,costCurrencyCode,dmp.cost.currency_code,1.0,Direct: ISO 4217 currency code
DMP Lifecycle,dmpIdentifier,dmp.dmp_id,1.0,Direct
DMP Lifecycle,dmpCreationDate,dmp.created,1.0,Direct
DMP Lifecycle,dmpLastUpdated,dmp.modified,1.0,Direct
DMP Lifecycle,dataStewardORCID,dmp.contributor.contributor_id,1.0,Direct: identifier with type 'orcid'
DMP Lifecycle,dataSteward,dmp.contributor + role 'Data Steward',0.75,Strong
DMP Lifecycle,responsibleOrganizationROR,dmp.contributor.contributor_id (type 'other'),0.5,ROR rides in contributor_id with type=other
DMP Lifecycle,dmpVersion,(dmp.modified),0.25,No version field in maDMP
DMP Lifecycle,relatedDMP,(description),0.25,No DMP-to-DMP relation
DMP Lifecycle,responsibleOrganization,(contributor person-oriented),0.25,No organization entity in maDMP 1.1
DMP Lifecycle,dmpStatus,,0.0,No status concept
DMP Lifecycle,dmpReviewDate,,0.0,No review-date concept
DMP Lifecycle,dmpVisibility,,0.0,Administrative; intentionally unmapped
Ethics Information,ethicsApprovalURL,dmp.ethical_issues_report,1.0,Direct: URL type matches the URI expectation
